TEAM,matches_played,goals_scored,goals_conceded,clean_sheets,wins,draws,losses,goals_per_game,goals_conceded_per_game,goal_diff_per_game,cleansheet_pct,win_rate,wc_appearances,confederation,recent_win_rate,wc2022_stage,conf_multiplier,composite_score,rank,Flag,Team with Flag
Ghana,156,237,132,67,81,35,40,1.3369230769230769,0.8461538461538461,0.5923076923076923,0.3779487179487179,0.456923076923077,4,CAF,0.3611111111111111,1.0,0.88,0.3327945686568852,29,🇬🇭,🇬🇭 Ghana
Canada,120,233,114,56,61,26,33,1.5921666666666665,0.95,0.8131666666666666,0.3826666666666666,0.4168333333333333,1,CONCACAF,0.4736842105263157,1.0,0.82,0.326876528287691,30,🇨🇦,🇨🇦 Canada
Sweden,150,254,162,61,74,28,48,1.6933333333333334,1.08,0.6133333333333333,0.4066666666666667,0.4933333333333333,2,UEFA,0.3571428571428571,0.0,1.0,0.3149829464616013,31,🇸🇪,🇸🇪 Sweden
Colombia,134,167,122,65,58,40,36,1.2213432835820894,0.9104477611940298,0.3291044776119403,0.4753731343283582,0.4241791044776119,2,CONMEBOL,0.4642857142857143,0.0,0.98,0.312840786762585,32,🇨🇴,🇨🇴 Colombia
Austria,125,211,142,39,62,23,40,1.688,1.136,0.552,0.312,0.496,0,UEFA,0.5142857142857142,0.0,1.0,0.2892031694378843,33,🇦🇹,🇦🇹 Austria
Czech Republic,140,214,147,55,68,28,44,1.5285714285714285,1.05,0.4785714285714286,0.3928571428571428,0.4857142857142857,1,UEFA,0.40625,0.0,1.0,0.286951234342348,34,🇨🇿,🇨🇿 Czech Republic
Jordan,136,220,126,60,66,32,38,1.2941176470588236,0.9264705882352942,0.5529411764705883,0.3529411764705882,0.388235294117647,0,AFC,0.6470588235294118,0.0,0.8,0.2863211491472034,35,🇯🇴,🇯🇴 Jordan
Saudi Arabia,182,278,173,78,89,39,54,1.221978021978022,0.9505494505494504,0.4615384615384615,0.3428571428571428,0.3912087912087912,3,AFC,0.4444444444444444,1.0,0.8,0.2854520680247209,36,🇸🇦,🇸🇦 Saudi Arabia
Scotland,130,196,153,47,63,24,43,1.5076923076923077,1.176923076923077,0.3307692307692307,0.3615384615384615,0.4846153846153846,0,UEFA,0.5,0.0,1.0,0.2789558458027492,37,🏴󠁧󠁢󠁳󠁣󠁴󠁿,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland
Haiti,124,238,147,39,60,26,38,1.5738709677419354,1.185483870967742,0.6017741935483871,0.2579032258064516,0.3967741935483871,0,CONCACAF,0.5833333333333334,0.0,0.82,0.2421173988398405,38,🇭🇹,🇭🇹 Haiti
DR Congo,131,198,122,51,61,37,33,1.330076335877863,0.931297709923664,0.5105343511450381,0.3425954198473282,0.4097709923664122,0,CAF,0.5142857142857142,0.0,0.88,0.2407225865111981,39,🇨🇩,🇨🇩 DR Congo
South Africa,162,213,132,73,69,58,35,1.157037037037037,0.8148148148148148,0.44,0.3965432098765432,0.3748148148148148,1,CAF,0.4615384615384615,0.0,0.88,0.2355306500169162,40,🇿🇦,🇿🇦 South Africa
Qatar,175,283,193,71,83,34,58,1.2937142857142858,1.1028571428571428,0.4114285714285714,0.3245714285714285,0.3794285714285714,1,AFC,0.4285714285714285,1.0,0.8,0.2276505767784085,41,🇶🇦,🇶🇦 Qatar
Panama,158,241,178,55,71,42,45,1.250759493670886,1.1265822784810129,0.3269620253164557,0.2854430379746835,0.3684810126582278,1,CONCACAF,0.55,0.0,0.82,0.2155447739976761,42,🇵🇦,🇵🇦 Panama
Iraq,186,238,167,77,82,55,49,1.0236559139784946,0.8978494623655914,0.3053763440860215,0.3311827956989248,0.3526881720430108,0,AFC,0.5652173913043478,0.0,0.8,0.200168517139215,43,🇮🇶,🇮🇶 Iraq
Cape Verde,108,124,108,42,47,26,35,1.0103703703703704,1.0,0.1303703703703703,0.3422222222222222,0.3829629629629629,0,CAF,0.5151515151515151,0.0,0.88,0.1898771341250719,44,🇨🇻,🇨🇻 Cape Verde
Ecuador,124,149,146,41,41,36,47,1.1775806451612902,1.1774193548387095,0.0237096774193548,0.3240322580645161,0.3240322580645161,3,CONMEBOL,0.3333333333333333,1.0,0.98,0.1795554223025396,45,🇪🇨,🇪🇨 Ecuador
Bosnia and Herzegovina,133,217,188,38,55,27,51,1.631578947368421,1.413533834586466,0.2180451127819548,0.2857142857142857,0.4135338345864661,1,UEFA,0.3548387096774194,0.0,1.0,0.179289033321482,46,🇧🇦,🇧🇦 Bosnia and Herzegovina
Curacao,98,171,135,30,35,22,41,1.4308163265306122,1.3775510204081634,0.3012244897959183,0.2510204081632653,0.2928571428571428,0,CONCACAF,0.4,0.0,0.82,0.0988333118416132,47,🇨🇼,🇨🇼 Curacao
Paraguay,133,130,166,44,38,43,52,0.9578947368421052,1.2481203007518795,-0.2652631578947368,0.3242105263157894,0.2799999999999999,2,CONMEBOL,0.3076923076923077,0.0,0.98,0.0734458140954782,48,🇵🇾,🇵🇾 Paraguay
