TEAM,matches_played,goals_scored,goals_conceded,clean_sheets,wins,draws,losses,goals_per_game,goals_conceded_per_game,goal_diff_per_game,cleansheet_pct,win_rate,wc_appearances,recent_win_rate,wc2022_stage,composite_score,rank,confederation,Flag,Team with Flag
Spain,344,782,258,168,229,68,47,2.2732558139534884,0.75,1.5232558139534884,0.4883720930232558,0.6656976744186046,12,0.6976744186046512,2.0,0.8310369784668502,1,UEFA,🇪🇸,🇪🇸 Spain
France,333,626,261,157,202,79,52,1.87987987987988,0.7837837837837838,1.0960960960960962,0.4714714714714714,0.6066066066066066,10,0.6046511627906976,6.0,0.7920559904952762,2,UEFA,🇫🇷,🇫🇷 France
England,351,694,223,199,206,92,53,1.9772079772079767,0.6353276353276354,1.3418803418803418,0.5669515669515669,0.5868945868945868,10,0.625,3.0,0.7907234242128817,3,UEFA,🏴󠁧󠁢󠁥󠁮󠁧󠁿,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England
Argentina,346,563,300,148,189,92,65,1.6271676300578035,0.8670520231213873,0.7601156069364162,0.4277456647398844,0.546242774566474,12,0.6944444444444444,7.0,0.7694646295012094,4,CONMEBOL,🇦🇷,🇦🇷 Argentina
Netherlands,331,725,265,160,208,64,59,2.190332326283988,0.8006042296072508,1.3897280966767371,0.4833836858006042,0.6283987915407855,8,0.5813953488372093,3.0,0.7607264577258749,5,UEFA,🇳🇱,🇳🇱 Netherlands
Australia,269,673,217,128,160,53,56,2.5018587360594795,0.8066914498141264,1.695167286245353,0.4758364312267658,0.5947955390334573,5,0.6176470588235294,2.0,0.7507400015833233,6,AFC,🇦🇺,🇦🇺 Australia
Brazil,361,707,271,177,217,87,57,1.958448753462604,0.7506925207756233,1.2077562326869806,0.4903047091412742,0.6011080332409973,12,0.46875,3.0,0.736945845949842,7,CONMEBOL,🇧🇷,🇧🇷 Brazil
Portugal,325,633,263,158,192,73,60,1.947692307692308,0.8092307692307692,1.1384615384615384,0.4861538461538461,0.5907692307692308,7,0.6818181818181818,3.0,0.7256163329024312,8,UEFA,🇵🇹,🇵🇹 Portugal
South Korea,445,880,343,227,252,115,78,1.9775280898876404,0.7707865168539326,1.206741573033708,0.5101123595505618,0.5662921348314607,10,0.5757575757575758,2.0,0.7179660117509457,9,AFC,🇰🇷,🇰🇷 South Korea
Iran,331,702,231,178,198,82,51,2.120845921450151,0.6978851963746223,1.4229607250755287,0.5377643504531722,0.5981873111782477,6,0.6470588235294118,0.0,0.7025977059956925,10,AFC,🇮🇷,🇮🇷 Iran
Germany,345,795,318,143,221,72,52,2.3043478260869565,0.9217391304347826,1.382608695652174,0.4144927536231884,0.6405797101449275,12,0.5,0.0,0.6982926344554405,11,UEFA,🇩🇪,🇩🇪 Germany
Japan,436,851,376,205,241,93,102,1.951834862385321,0.8623853211009175,1.0894495412844036,0.4701834862385321,0.5527522935779816,7,0.6923076923076923,2.0,0.6837258980835955,12,AFC,🇯🇵,🇯🇵 Japan
Morocco,317,472,217,170,162,90,65,1.4889589905362777,0.6845425867507886,0.804416403785489,0.5362776025236593,0.5110410094637224,5,0.7021276595744681,4.0,0.6702767477003884,13,CAF,🇲🇦,🇲🇦 Morocco
Croatia,250,434,232,107,135,65,50,1.736,0.928,0.808,0.428,0.54,6,0.5227272727272727,5.0,0.6444341122178509,14,UEFA,🇭🇷,🇭🇷 Croatia
Mexico,391,744,359,173,219,86,86,1.902813299232737,0.918158567774936,0.9846547314578004,0.4424552429667519,0.5601023017902813,10,0.631578947368421,0.0,0.6346229111381503,15,CONCACAF,🇲🇽,🇲🇽 Mexico
United States,350,608,330,152,193,65,92,1.737142857142857,0.9428571428571428,0.7942857142857143,0.4342857142857143,0.5514285714285714,8,0.5384615384615384,2.0,0.6069808639928225,16,CONCACAF,🇺🇸,🇺🇸 United States
Italy,342,560,271,158,193,100,49,1.6374269005847952,0.7923976608187134,0.8450292397660819,0.4619883040935672,0.564327485380117,10,0.5,0.0,0.5871639369025847,17,UEFA,, Italy
New Zealand,176,357,184,82,92,30,54,2.028409090909091,1.0454545454545454,0.9829545454545454,0.4659090909090909,0.5227272727272727,2,0.6818181818181818,0.0,0.5779757593593327,18,OFC,🇳🇿,🇳🇿 New Zealand
Senegal,348,517,263,169,178,98,72,1.485632183908046,0.7557471264367817,0.7298850574712644,0.4856321839080459,0.5114942528735632,3,0.6382978723404256,2.0,0.5689000253867261,19,CAF,🇸🇳,🇸🇳 Senegal
Nigeria,336,525,251,167,182,88,66,1.5625,0.7470238095238095,0.8154761904761905,0.4970238095238095,0.5416666666666666,6,0.5813953488372093,0.0,0.5676856249477431,20,CAF,, Nigeria
